# Frequency (Hz), SPL (dB), Phase (degrees)
2800.000000, -0.332392, 0
2850.000000, -0.306170, 0
2900.000000, -0.280521, 0
2950.000000, -0.255223, 0
3000.000000, -0.230351, 0
3040.000000, -0.210798, 0
3070.000000, -0.198998, 0
3110.000000, -0.186194, 0
3150.000000, -0.173482, 0
3200.000000, -0.157872, 0
3250.000000, -0.142558, 0
3300.000000, -0.127403, 0
3350.000000, -0.112543, 0
3400.000000, -0.097824, 0
3450.000000, -0.106452, 0
3500.000000, -0.142382, 0
3550.000000, -0.177793, 0
3600.000000, -0.212712, 0
3650.000000, -0.247158, 0
3700.000000, -0.281116, 0
3750.000000, -0.314645, 0
3820.000000, -0.360759, 0
3870.000000, -0.375600, 0
3950.000000, -0.365901, 0
4000.000000, -0.359877, 0
4060.000000, -0.352778, 0
4120.000000, -0.345801, 0
4180.000000, -0.338866, 0
4250.000000, -0.330951, 0
4310.000000, -0.324267, 0
4370.000000, -0.301292, 0
4440.000000, -0.271820, 0
4500.000000, -0.246929, 0
4550.000000, -0.226330, 0
4620.000000, -0.197991, 0
4680.000000, -0.174095, 0
4750.000000, -0.146475, 0
4820.000000, -0.119345, 0
4870.000000, -0.110721, 0
4940.000000, -0.116945, 0
5000.000000, -0.122283, 0
5080.000000, -0.129260, 0
5150.000000, -0.135300, 0
5220.000000, -0.141230, 0
5300.000000, -0.147921, 0
5380.000000, -0.154467, 0
5450.000000, -0.158490, 0
5520.000000, -0.150048, 0
5600.000000, -0.140546, 0
5700.000000, -0.128786, 0
5800.000000, -0.117309, 0
5900.000000, -0.106008, 0
6000.000000, -0.094875, 0
6080.000000, -0.086148, 0
6150.000000, -0.089917, 0
6220.000000, -0.101304, 0
6300.000000, -0.114105, 0
6400.000000, -0.129919, 0
6500.000000, -0.145551, 0
6600.000000, -0.160885, 0
6700.000000, -0.176033, 0
6800.000000, -0.190976, 0
6900.000000, -0.176918, 0
7000.000000, -0.125803, 0
7100.000000, -0.075410, 0
7200.000000, -0.025621, 0
7300.000000, 0.023383, 0
7400.000000, 0.071721, 0
7500.000000, 0.119411, 0
7620.000000, 0.175895, 0
7750.000000, 0.264914, 0
7880.000000, 0.394002, 0
8000.000000, 0.511306, 0
8120.000000, 0.626803, 0
8250.000000, 0.750093, 0
8380.000000, 0.871405, 0
8500.000000, 0.981727, 0
8620.000000, 1.090518, 0
8750.000000, 1.155446, 0
8850.000000, 1.197556, 0
9000.000000, 1.259955, 0
9120.000000, 1.309064, 0
9250.000000, 1.361596, 0
9380.000000, 1.413342, 0
9500.000000, 1.460523, 0
9620.000000, 1.507052, 0
9750.000000, 1.543448, 0
9880.000000, 1.558802, 0
10000.000000, 1.572876, 0
10150.000000, 1.590165, 0
10300.000000, 1.607306, 0
10440.000000, 1.622959, 0
10600.000000, 1.640633, 0
10750.000000, 1.657044, 0
10900.000000, 1.671800, 0
11060.000000, 1.672597, 0
11200.000000, 1.673294, 0
11380.000000, 1.674194, 0
11500.000000, 1.674800, 0
11720.000000, 1.675900, 0
11800.000000, 1.676300, 0
12060.000000, 1.677500, 0
12200.000000, 1.678202, 0
12410.000000, 1.625347, 0
12500.000000, 1.600414, 0
12650.000000, 1.559323, 0
12800.000000, 1.518628, 0
13150.000000, 1.425675, 0
13200.000000, 1.412523, 0
13400.000000, 1.360709, 0
13600.000000, 1.309680, 0
13800.000000, 1.287838, 0
14000.000000, 1.307331, 0
14300.000000, 1.336038, 0
14500.000000, 1.354856, 0
14750.000000, 1.378018, 0
15000.000000, 1.400755, 0
15250.000000, 1.423101, 0
15500.000000, 1.415600, 0
15750.000000, 1.364890, 0
16000.000000, 1.314984, 0
16250.000000, 1.265872, 0
16500.000000, 1.217558, 0
16750.000000, 1.169841, 0
17000.000000, 1.122965, 0
17250.000000, 1.076643, 0
17500.000000, 0.938623, 0
17750.000000, 0.787226, 0
18000.000000, 0.637834, 0
18250.000000, 0.490564, 0
18500.000000, 0.345308, 0
18750.000000, 0.202066, 0
19000.000000, 0.060550, 0
19250.000000, -0.079000, 0
19500.000000, -0.194565, 0
19750.000000, -0.273565, 0
20000.000000, -0.351600, 0
