# Frequency (Hz), SPL (dB), Phase (degrees)
2090.000000, 96.343597, -131.2598
2120.000000, 96.583984, -131.6115
2140.000000, 96.740997, -131.8757
2180.000000, 97.058769, -132.5776
2200.000000, 97.214920, -132.9956
2240.000000, 97.526047, -133.9586
2270.000000, 97.753563, -134.8363
2300.000000, 97.973961, -135.8089
2330.000000, 98.186172, -136.8907
2360.000000, 98.386765, -138.0785
2400.000000, 98.633293, -139.8266
2430.000000, 98.809090, -141.2307
2470.000000, 99.012978, -143.2468
2500.000000, 99.147766, -144.8459
2540.000000, 99.296280, -147.0752
2580.000000, 99.412354, -149.4375
2620.000000, 99.494514, -151.7469
2650.000000, 99.533127, -153.5365
2690.000000, 99.557251, -155.9702
2720.000000, 99.551346, -157.7970
2760.000000, 99.513229, -160.2658
2800.000000, 99.436577, -162.7173
2850.000000, 99.276108, -165.7694
2900.000000, 99.033905, -168.6761
2950.000000, 98.709953, -171.2041
3000.000000, 98.325256, -173.1163
3040.000000, 98.013000, -174.3014
3070.000000, 97.772324, -174.8882
3110.000000, 97.469398, -175.4425
3150.000000, 97.178520, -175.7437
3200.000000, 96.848427, -175.8562
3250.000000, 96.549805, -175.8094
3300.000000, 96.275131, -175.6059
3350.000000, 96.022644, -175.3369
3400.000000, 95.785736, -174.9313
3450.000000, 95.569244, -174.5308
3500.000000, 95.361900, -174.0551
3550.000000, 95.166412, -173.5075
3600.000000, 94.968826, -172.9177
3650.000000, 94.799583, -172.2401
3700.000000, 94.637032, -171.5298
3750.000000, 94.479904, -170.6699
3820.000000, 94.295189, -169.3477
3870.000000, 94.192360, -168.3587
3950.000000, 94.075546, -166.8056
4000.000000, 94.038239, -165.9199
4060.000000, 94.000420, -165.0597
4120.000000, 93.963943, -164.3790
4180.000000, 93.918640, -163.7369
4250.000000, 93.859901, -162.9833
4310.000000, 93.805298, -162.3784
4370.000000, 93.751213, -161.6885
4440.000000, 93.701065, -160.8553
4500.000000, 93.669205, -160.2928
4550.000000, 93.626404, -159.6991
4620.000000, 93.583672, -158.8938
4680.000000, 93.544281, -158.2679
4750.000000, 93.512283, -157.4087
4820.000000, 93.492332, -156.5129
4870.000000, 93.485176, -155.8373
4940.000000, 93.497124, -154.9584
5000.000000, 93.520058, -154.2363
5080.000000, 93.574089, -153.4299
5150.000000, 93.628387, -152.8204
5220.000000, 93.691742, -152.3367
5300.000000, 93.770782, -151.9695
5380.000000, 93.833450, -151.7539
5450.000000, 93.876328, -151.6764
5520.000000, 93.902008, -151.6569
5600.000000, 93.900887, -151.5988
5700.000000, 93.887161, -151.2869
5800.000000, 93.906212, -150.7973
5900.000000, 93.979202, -150.2434
6000.000000, 94.081902, -149.9366
6080.000000, 94.197144, -149.8653
6150.000000, 94.291611, -150.0719
6220.000000, 94.390007, -150.4087
6300.000000, 94.488853, -150.9729
6400.000000, 94.584808, -151.9245
6500.000000, 94.658066, -153.1032
6600.000000, 94.685143, -154.3811
6700.000000, 94.689011, -155.8398
6800.000000, 94.661263, -157.2572
6900.000000, 94.596703, -158.6767
7000.000000, 94.498245, -160.0743
7100.000000, 94.390869, -161.4115
7200.000000, 94.253387, -162.5735
7300.000000, 94.135117, -163.7055
7400.000000, 94.000359, -164.8084
7500.000000, 93.859695, -165.8493
7620.000000, 93.702812, -166.8930
7750.000000, 93.577217, -168.0602
7880.000000, 93.483406, -169.4464
8000.000000, 93.416115, -170.9391
8120.000000, 93.358673, -172.8855
8250.000000, 93.263733, -175.3729
8380.000000, 93.143417, -178.1592
8500.000000, 92.997742, 178.8780
