# Frequency (Hz), SPL (dB), Phase (degrees)
7300.000000, 95.553299, -165.2510
7400.000000, 95.472191, -166.4656
7500.000000, 95.384720, -167.7400
7620.000000, 95.283005, -169.3075
7750.000000, 95.189980, -171.1403
7880.000000, 95.094513, -173.2413
8000.000000, 94.993202, -175.4997
8120.000000, 94.882294, -177.9722
8250.000000, 94.725800, 179.0366
8380.000000, 94.526367, 175.7774
8500.000000, 94.300774, 172.4756
8620.000000, 94.002190, 168.9482
8750.000000, 93.603165, 165.0470
8850.000000, 93.217316, 162.0312
9000.000000, 92.560097, 157.9595
9120.000000, 91.966263, 155.1658
9250.000000, 91.289185, 152.4228
9380.000000, 90.572899, 150.1112
9500.000000, 89.886482, 148.3964
9620.000000, 89.276329, 147.3088
9750.000000, 88.499680, 146.1484
9880.000000, 87.786461, 145.5517
10000.000000, 87.150475, 145.2507
10150.000000, 86.376480, 145.2097
10300.000000, 85.659836, 145.7192
10440.000000, 85.051483, 146.4069
10600.000000, 84.427574, 147.5233
10750.000000, 83.862976, 148.6380
10900.000000, 83.372772, 149.7490
11060.000000, 82.883293, 151.1429
11200.000000, 82.514511, 152.6911
11380.000000, 82.083595, 154.0665
11500.000000, 81.864441, 155.4104
11720.000000, 81.484352, 157.4443
11800.000000, 81.349403, 158.1906
12060.000000, 81.059753, 160.3492
12200.000000, 81.011650, 161.3468
12410.000000, 80.886063, 162.8157
12500.000000, 80.884262, 163.4063
12650.000000, 80.914795, 163.9956
12800.000000, 80.965202, 164.6180
13150.000000, 81.243523, 165.1064
13200.000000, 81.317825, 164.9605
13400.000000, 81.579079, 164.4059
13600.000000, 82.013313, 162.9994
13800.000000, 82.457596, 160.6456
14000.000000, 82.981155, 157.6126
14300.000000, 83.856842, 150.6123
14500.000000, 84.572456, 144.1741
14750.000000, 85.437630, 132.9697
15000.000000, 86.159149, 118.0031
15250.000000, 86.499588, 99.6902
15500.000000, 86.233589, 79.6829
15750.000000, 85.448135, 59.9678
16000.000000, 84.403030, 41.5256
16250.000000, 83.294724, 24.2715
16500.000000, 82.276993, 7.5219
16750.000000, 81.472809, -9.4449
17000.000000, 80.859879, -27.6251
17250.000000, 80.483849, -47.2498
17500.000000, 80.289017, -69.6533
17750.000000, 80.183945, -96.1703
18000.000000, 80.005005, -126.5841
18250.000000, 79.337021, -161.7062
18500.000000, 77.874969, 160.2004
18750.000000, 75.636627, 121.7123
19000.000000, 72.777718, 83.8512
19250.000000, 69.114044, 46.5235
19500.000000, 65.845581, 7.4433
19750.000000, 63.243332, -39.8729
